Date,P,D,E,CPI,Date Fraction,Long IR GS10,Real Price,Real Dividend,Real Earnings,CAPE (P/E10),Date (CCYY-MM)
1871.01,4.44,0.26,0.4,12.46,1871.04,5.32,86.98,5.09,7.84,NA,1871-01
1871.02,4.5,0.26,0.4,12.84,1871.13,5.32,85.54,4.94,7.6,NA,1871-02
1871.03,4.61,0.26,0.4,13.03,1871.21,5.33,86.36,4.87,7.49,NA,1871-03
1871.04,4.74,0.26,0.4,12.56,1871.29,5.33,92.15,5.05,7.78,NA,1871-04
1871.05,4.86,0.26,0.4,12.27,1871.38,5.33,96.69,5.17,7.96,NA,1871-05
1871.06,4.82,0.26,0.4,12.08,1871.46,5.34,97.4,5.25,8.08,NA,1871-06
1871.07,4.73,0.26,0.4,12.08,1871.54,5.34,95.58,5.25,8.08,NA,1871-07
1871.08,4.79,0.26,0.4,11.89,1871.63,5.34,98.34,5.34,8.21,NA,1871-08
1871.09,4.84,0.26,0.4,12.18,1871.71,5.35,97.04,5.21,8.02,NA,1871-09
1871.10,4.59,0.26,0.4,12.37,1871.79,5.35,90.61,5.13,7.9,NA,1871-10
1871.11,4.64,0.26,0.4,12.37,1871.88,5.35,91.6,5.13,7.9,NA,1871-11
1871.12,4.74,0.26,0.4,12.65,1871.96,5.36,91.46,5.02,7.72,NA,1871-12
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,93.78,5.08,7.77,NA,1872-01
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,94.16,5.15,7.81,NA,1872-02
1872.03,5.04,0.27,0.41,12.84,1872.21,5.4,95.81,5.13,7.75,NA,1872-03
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,96.33,5.08,7.62,NA,1872-04
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,96.33,5.15,7.67,NA,1872-05
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,96.1,5.25,7.77,NA,1872-06
1872.07,5.1,0.28,0.42,12.84,1872.54,5.47,96.95,5.39,7.94,NA,1872-07
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,95.11,5.41,7.93,NA,1872-08
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,92.73,5.43,7.91,NA,1872-09
1872.10,4.97,0.29,0.43,12.75,1872.79,5.53,95.18,5.62,8.14,NA,1872-10
1872.11,4.95,0.3,0.43,13.13,1872.88,5.54,92.05,5.52,7.95,NA,1872-11
1872.12,5.07,0.3,0.43,12.94,1872.96,5.56,95.67,5.66,8.11,NA,1872-12
1873.01,5.11,0.3,0.43,12.94,1873.04,5.58,96.43,5.71,8.16,NA,1873-01
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,95.08,5.63,8.03,NA,1873-02
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,94.35,5.68,8.08,NA,1873-03
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,93.05,5.72,8.12,NA,1873-04
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,95.29,5.9,8.35,NA,1873-05
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,96.82,6.12,8.65,NA,1873-06
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,96.63,6.17,8.7,NA,1873-07
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,96.63,6.22,8.75,NA,1873-08
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,89.24,6.27,8.8,NA,1873-09
1873.10,4.19,0.33,0.46,12.27,1873.79,5.5,83.36,6.47,9.05,NA,1873-10
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,82.94,6.72,9.39,NA,1873-11
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,88.62,6.62,9.22,NA,1873-12
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,91.99,6.51,9.08,NA,1874-01
1874.02,4.8,0.33,0.46,12.37,1874.13,5.44,94.76,6.51,9.08,NA,1874-02
1874.03,4.73,0.33,0.46,12.37,1874.21,5.4,93.38,6.51,9.08,NA,1874-03
1874.04,4.6,0.33,0.46,12.18,1874.29,5.37,92.23,6.62,9.22,NA,1874-04
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,90.53,6.67,9.3,NA,1874-05
1874.06,4.46,0.33,0.46,11.8,1874.46,5.3,92.31,6.83,9.52,NA,1874-06
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,91.57,6.78,9.44,NA,1874-07
1874.08,4.47,0.33,0.46,11.8,1874.63,5.24,92.51,6.83,9.52,NA,1874-08
1874.09,4.54,0.33,0.46,11.8,1874.71,5.2,93.96,6.83,9.52,NA,1874-09
1874.10,4.53,0.33,0.46,11.61,1874.79,5.17,95.29,6.94,9.68,NA,1874-10
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,96.93,7,9.76,NA,1874-11
1874.12,4.54,0.33,0.46,11.51,1874.96,5.1,96.29,7,9.76,NA,1874-12
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,96.29,6.95,9.58,NA,1875-01
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,96.08,6.89,9.4,NA,1875-02
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,97.35,6.84,9.23,NA,1875-03
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,97.82,6.73,8.98,NA,1875-04
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,96.4,6.85,9.02,NA,1875-05
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,96.07,6.91,8.99,NA,1875-06
1875.07,4.39,0.31,0.4,11.13,1875.54,4.83,96.29,6.85,8.81,NA,1875-07
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,95.91,6.74,8.55,NA,1875-08
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,95.85,6.74,8.44,NA,1875-09
1875.10,4.3,0.31,0.38,11.13,1875.79,4.71,94.32,6.69,8.26,NA,1875-10
1875.11,4.37,0.3,0.37,11.04,1875.88,4.67,96.68,6.69,8.15,NA,1875-11
1875.12,4.37,0.3,0.36,10.94,1875.96,4.63,97.52,6.69,8.03,NA,1875-12
1876.01,4.46,0.3,0.35,10.85,1876.04,4.59,100.4,6.75,7.95,NA,1876-01
1876.02,4.52,0.3,0.35,10.85,1876.13,4.58,101.75,6.75,7.8,NA,1876-02
1876.03,4.51,0.3,0.34,10.85,1876.21,4.57,101.53,6.75,7.65,NA,1876-03
1876.04,4.34,0.3,0.33,10.75,1876.29,4.56,98.57,6.81,7.57,NA,1876-04
1876.05,4.18,0.3,0.33,10.37,1876.38,4.54,98.42,7.06,7.69,NA,1876-05
1876.06,4.15,0.3,0.32,10.09,1876.46,4.53,100.47,7.26,7.75,NA,1876-06
1876.07,4.1,0.3,0.31,10.09,1876.54,4.52,99.26,7.26,7.59,NA,1876-07
1876.08,3.93,0.3,0.31,10.18,1876.62,4.51,94.26,7.2,7.36,NA,1876-08
1876.09,3.69,0.3,0.3,10.28,1876.71,4.5,87.68,7.13,7.13,NA,1876-09
1876.10,3.67,0.3,0.29,10.47,1876.79,4.49,85.62,7,6.84,NA,1876-10
1876.11,3.6,0.3,0.29,10.56,1876.87,4.47,83.23,6.94,6.63,NA,1876-11
1876.12,3.58,0.3,0.28,10.75,1876.96,4.46,81.31,6.81,6.36,NA,1876-12
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,79.22,6.49,6.29,NA,1877-01
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,76.53,6.45,6.49,NA,1877-02
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,76.03,6.54,6.84,NA,1877-03
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,68.59,6.14,6.69,NA,1877-04
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,67.37,5.82,6.61,NA,1877-05
1877.06,2.73,0.25,0.29,10.09,1877.46,4.4,66.1,5.93,7.02,NA,1877-06
1877.07,2.85,0.24,0.29,10.18,1877.54,4.4,68.36,5.66,7,NA,1877-07
1877.08,3.05,0.23,0.29,9.8,1877.62,4.39,75.99,5.65,7.31,NA,1877-08
1877.09,3.24,0.22,0.3,9.7,1877.71,4.38,81.52,5.47,7.42,NA,1877-09
1877.10,3.31,0.21,0.3,9.7,1877.79,4.37,83.28,5.24,7.47,NA,1877-10
1877.11,3.26,0.2,0.3,9.51,1877.87,4.36,83.66,5.11,7.66,NA,1877-11
1877.12,3.25,0.19,0.3,9.51,1877.96,4.35,83.41,4.88,7.7,NA,1877-12
1878.01,3.25,0.19,0.3,9.23,1878.04,4.34,85.99,5.01,7.96,NA,1878-01
1878.02,3.18,0.19,0.3,9.13,1878.12,4.33,85.01,5.03,8.07,NA,1878-02
1878.03,3.24,0.19,0.3,8.94,1878.21,4.32,88.46,5.12,8.26,NA,1878-03
1878.04,3.33,0.19,0.3,8.85,1878.29,4.31,91.89,5.15,8.37,NA,1878-04
1878.05,3.34,0.19,0.3,8.56,1878.37,4.3,95.24,5.3,8.67,NA,1878-05
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,99.45,5.4,8.89,NA,1878-06
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,100.35,5.31,8.82,NA,1878-07
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,98.38,5.23,8.75,NA,1878-08
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,100.37,5.2,8.77,NA,1878-09
1878.10,3.48,0.18,0.31,8.47,1878.79,4.25,100.35,5.24,8.89,NA,1878-10
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,101.2,5.27,9.02,NA,1878-11
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,102.95,5.37,9.25,NA,1878-12
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,105.6,5.36,9.32,NA,1879-01
1879.02,3.71,0.18,0.32,8.37,1879.12,4.2,108.19,5.35,9.38,NA,1879-02
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,107.67,5.46,9.66,NA,1879-03
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,112.5,5.57,9.95,NA,1879-04
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,117.57,5.62,10.12,NA,1879-05
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,119.56,5.74,10.42,NA,1879-06
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,120.56,5.72,10.47,NA,1879-07
1879.08,4.07,0.19,0.36,8.18,1879.62,4.1,121.45,5.77,10.64,NA,1879-08
